,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
170,Downtown,45.421423299999994,-75.698021,TD Canada Trust,45.417728936358934,-75.70167849172321,Bank
171,Downtown,45.421423299999994,-75.698021,Tim Hortons,45.422126544761724,-75.69470375776297,Coffee Shop
172,Downtown,45.421423299999994,-75.698021,Starbucks,45.419697,-75.703859,Coffee Shop
173,Downtown,45.421423299999994,-75.698021,"""SPIN"" Kitchen & Bar",45.419399685016444,-75.70330988607155,Restaurant
174,Downtown,45.421423299999994,-75.698021,ARC The.Hotel,45.4203234,-75.6968678,Hotel
175,Downtown,45.421423299999994,-75.698021,Gooney's Sandwich Works,45.417869556287656,-75.70076452908685,Sandwich Place
176,Downtown,45.421423299999994,-75.698021,Roast 'n Curries,45.417588,-75.698472,Persian Restaurant
177,Downtown,45.421423299999994,-75.698021,Capital Hill Hotel and Suites,45.4218260992711,-75.69583448343467,Hotel
178,Downtown,45.421423299999994,-75.698021,Backdrop,45.41945767284898,-75.6944910684558,Restaurant
179,Downtown,45.421423299999994,-75.698021,New King Shawarma,45.41745893970498,-75.69811263860913,Middle Eastern Restaurant
180,Downtown,45.421423299999994,-75.698021,Subway,45.420747023652666,-75.69600962268356,Sandwich Place
181,Downtown,45.421423299999994,-75.698021,Tim Hortons,45.420604,-75.694617,Coffee Shop
182,Downtown,45.421423299999994,-75.698021,Grill Forty One - G41,45.42176,-75.693811,American Restaurant
183,Downtown,45.421423299999994,-75.698021,Subway,45.418135091727486,-75.70063610394993,Sandwich Place
184,Downtown,45.421423299999994,-75.698021,Starbucks,45.421198691510035,-75.69299619446814,Coffee Shop
185,Downtown,45.421423299999994,-75.698021,Parliamentary Restaurant,45.42466044539341,-75.70041418075562,Restaurant
186,Downtown,45.421423299999994,-75.698021,Royal Oak,45.417836918699656,-75.69855495740474,Pub
187,Downtown,45.421423299999994,-75.698021,Victoria Tower Bell,45.42514236310184,-75.70137977600098,Sculpture Garden
188,Centretown,45.4144453,-75.69033979999998,El Camino,45.414725,-75.687871,Taco Place
189,Centretown,45.4144453,-75.69033979999998,Pure Kitchen,45.415917151004216,-75.68876741514009,Vegetarian / Vegan Restaurant
190,Centretown,45.4144453,-75.69033979999998,The Manx Pub,45.415111502137336,-75.68802171247351,Pub
191,Centretown,45.4144453,-75.69033979999998,Rama Lotus Yoga Centre,45.413512417808136,-75.69281926959428,Yoga Studio
192,Centretown,45.4144453,-75.69033979999998,Canadian Museum of Nature,45.412897832622136,-75.6888443362347,Museum
193,Centretown,45.4144453,-75.69033979999998,Colonnade Pizza,45.415894,-75.691404,Pizza Place
194,Centretown,45.4144453,-75.69033979999998,Town,45.416627250323614,-75.68952441215515,New American Restaurant
195,Centretown,45.4144453,-75.69033979999998,CITIZEN,45.416412,-75.68967,Tapas Restaurant
196,Centretown,45.4144453,-75.69033979999998,Happy Goat Coffee Co,45.41608689362533,-75.6890121102333,Coffee Shop
197,Centretown,45.4144453,-75.69033979999998,Datsun,45.41475023543729,-75.6877838404337,Asian Restaurant
198,Centretown,45.4144453,-75.69033979999998,Charlotte,45.415962,-75.688909,Cocktail Bar
199,Centretown,45.4144453,-75.69033979999998,Whalesbone Oyster House,45.41226847663539,-75.6938561797142,Seafood Restaurant
200,Centretown,45.4144453,-75.69033979999998,Moo Shu Ice Cream & Kitchen,45.41087887028631,-75.69272696971893,Ice Cream Shop
201,Centretown,45.4144453,-75.69033979999998,ThimbleCakes,45.41392986132328,-75.69507674175823,Cupcake Shop
202,Centretown,45.4144453,-75.69033979999998,The Ministry of Coffee,45.41752,-75.69039,Coffee Shop
203,Centretown,45.4144453,-75.69033979999998,Union: Local 613,45.41611158368407,-75.69477930146125,Southern / Soul Food Restaurant
204,Centretown,45.4144453,-75.69033979999998,Pure Yoga Centretown,45.41422127314034,-75.69516744449805,Yoga Studio
205,Centretown,45.4144453,-75.69033979999998,Pure Gelato,45.41565288892049,-75.68848425925115,Dessert Shop
206,Centretown,45.4144453,-75.69033979999998,Elgin Street Diner,45.41502262580002,-75.68792474187102,Diner
207,Centretown,45.4144453,-75.69033979999998,Common Eatery,45.414746,-75.688116,Restaurant
208,Centretown,45.4144453,-75.69033979999998,Perfect Books,45.41812120518331,-75.69053685378098,Bookstore
209,Centretown,45.4144453,-75.69033979999998,Fairouz,45.415847,-75.695466,Middle Eastern Restaurant
210,Centretown,45.4144453,-75.69033979999998,Book Bazaar,45.413491298178165,-75.69291878569815,Bookstore
211,Centretown,45.4144453,-75.69033979999998,Best Western Plus Ottawa Downtown Suites,45.41307429731354,-75.6908564490738,Hotel
212,Centretown,45.4144453,-75.69033979999998,Canadian Museum of Nature Theater,45.412777,-75.6885,Movie Theater
